mes_ref,codigo,descricao,valor
janeiro,1.7.1.3.50.1.1.006,PAB SAUDE BUCAL,77909.41
janeiro,1.7.1.3.50.1.1.004,PAB AG COMUNITARIO SAUDE,0.0
janeiro,1.7.1.2.52.1.1.000,Cota-parte da Compensação Financeira pela Produção,10731.52
janeiro,1.7.1.2.51.0.1.000,Cota-parte da Compensação Financeira pela Exploraç,1897.47
janeiro,9.7.1.1.52.0.1.000,Cota-Parte do Imposto Sobre a Propriedade Territor,-30131.65
janeiro,1.7.1.1.52.0.1.000,Cota-Parte do Imposto Sobre a Propriedade Territor,150658.36
janeiro,9.7.1.1.51.1.1.000,Cota-Parte do Fundo de Participação dos Municípios,-1053464.29
janeiro,1.7.2.9.51.0.1.003,SCFV-Serv Convivência e Fortalecimento de Vínculo,0.0
janeiro,1.7.1.3.50.3.1.004,FNS AIDS,0.0
janeiro,1.7.1.3.50.4.1.001,ASS FARMACEUTICA,24094.87
janeiro,9.7.1.3.50.2.1.000,TRANSFERENCIAS MAC,-123706.13
janeiro,1.7.1.3.99.0.1.001,OUTRAS TRANSFERÊNCIAS UNIÃO - SAÚDE,0.0
janeiro,1.7.2.9.51.0.1.001,SADS Proteção Básica - Humanizar,0.0
janeiro,1.7.1.3.50.5.1.004,FMS PISO ENFERMAGEM,157345.97
janeiro,1.7.2.4.51.0.1.001,TRANSP ALUNOS ESTADUAL,0.0
janeiro,1.7.2.4.50.0.1.022,SUS PAULISTA EXT DENGUE,277385.0
janeiro,1.7.2.4.50.0.1.019,IGM - SUS,0.0
janeiro,1.7.2.4.50.0.1.013,PAB TAB SUS PAULISTA,100065.28
janeiro,1.7.2.4.50.0.1.011,CIRURGIA ELETIVAS,0.0
janeiro,1.7.2.4.50.0.1.002,MEDICAMENTOS FURP,0.0
janeiro,1.7.2.4.50.0.1.001,GLICEMIA,6846.5
janeiro,1.7.2.1.53.0.1.000,Cota-Parte da Contribuição de Intervenção no Domín,16013.94
janeiro,9.7.2.1.52.0.1.000,Cota-Parte do IPI - Municípios - Principal,-7452.63
janeiro,1.7.2.1.52.0.1.000,Cota-Parte do IPI - Municípios - Principal,37263.15
janeiro,9.7.2.1.51.0.1.000,Cota-Parte do IPVA - Principal,-1437260.7
janeiro,1.7.2.1.51.0.1.000,Cota-Parte do IPVA - Principal,7121220.64
janeiro,1.7.2.4.99.0.1.014,OUTRAS TRANSFERENCIAS ESTADO - SAÚDE,0.0
janeiro,1.7.1.4.99.0.1.001,OUTRAS TRANSF UNIAO EDUCAÇÃO,0.0
janeiro,1.7.2.1.50.0.1.000,Cota-Parte do ICMS - Principal,5896036.43
janeiro,1.7.1.7.99.0.1.001,OUTRAS TRASNF UNIAO ASS SOCIAL,0.0
janeiro,1.7.1.7.52.0.1.019,Bloco Proteção Social Especial,8811.51
janeiro,1.7.1.7.52.0.1.018,Bloco Proteção Social Básica,0.0
janeiro,1.7.1.7.52.0.1.005,PROGRAMA PRIMEIRA INFANCIA NO SUAS- CRIANÇA FELIZ,0.0
janeiro,1.7.1.7.52.0.1.004,IGD-SUAS IND GEST DESC MUN SIST UNICO ASS SOCIAL,0.0
janeiro,1.7.1.7.52.0.1.003,IGD-BF IND GESTÃO DESC MUN PROG BOLSA FAMILIA,9588.59
janeiro,9.7.2.1.50.0.1.000,Cota-Parte do ICMS - Principal,-1179207.26
janeiro,1.7.1.4.53.0.1.000,FNDE PNATE,0.0
janeiro,1.7.1.4.52.0.1.000,FNDE PNAE,0.0
janeiro,1.7.1.4.50.0.1.000,SALARIO EDUCAÇÃO-QESE,435922.18
fevereiro,1.3.2.1.01.0.1.001,REC REM OUTR DEP DE REC NÃO VINCULADA,979579.4
fevereiro,1.3.2.1.01.0.1.014,REC REND DE BANC FUNDEB,47390.46
fevereiro,1.3.1.1.02.0.3.001,D A CONCESSÃO DE ESPAÇO,0.0
fevereiro,1.3.1.1.02.0.4.001,M/J D A CONCESSÃO DE ESPAÇO,0.0
fevereiro,1.3.2.1.01.0.1.001,REC REM OUTR DEP DE REC NÃO VINCULADA,9923.01
fevereiro,1.3.2.1.01.0.1.010,REC REM DEP BANC CIDE,329.53
fevereiro,1.3.2.1.01.0.1.004,REC REM DEP BANC MDE,31848.1
fevereiro,1.3.2.1.01.0.1.005,REC REM SERVIÇOS AÇÕES DE SAUDE,6421.39
fevereiro,1.3.2.1.01.0.1.007,REC REM DEP BANC FNAS,6382.41
fevereiro,1.3.2.1.01.0.1.008,REC REM OUT DEP REC VINCULADOS,8607.84
fevereiro,1.3.1.1.02.0.2.001,M/J CONCESSÃO DE ESPAÇO,566.71
fevereiro,1.3.2.1.01.0.1.002,REC REM DEP BANC ROYALTIES,353.3
fevereiro,1.3.1.1.01.1.4.001,M/J DIV ATIVA ALUGUEIS,92.21
fevereiro,1.2.4.1.50.0.1.000,Contribuição para o Custeio do Serviço de Iluminaç,502860.84
fevereiro,1.3.1.1.01.1.2.001,M/J ALUGUEIS,0.0
fevereiro,1.3.1.1.01.1.1.001,ALUGUEIS,8095.42
fevereiro,1.2.4.1.50.0.4.000,Contribuição para o Custeio do Serviço de Iluminaç,7598.7
fevereiro,1.2.4.1.50.0.3.000,Contribuição para o Custeio do Serviço de Iluminaç,35821.29
fevereiro,1.2.4.1.50.0.2.000,Contribuição para o Custeio do Serviço de Iluminaç,0.0
fevereiro,1.2.1.5.01.3.1.003,CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-INSTITUTO,974.36
fevereiro,1.2.1.5.01.2.1.003,CONTRIB.SERVIDOR CIVIL INATIVO-INSTITUTO,10121.6
